My Report,,,,,,,,,,,,,,,,,,,,,
Last Modified: 11/10/2015,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"1.  Using the  Cochrane Library, determine whether each medical treatment helps, does not help, or has inconclusive results for the conditions in question.  

To indicate your answers, drag the questions into the boxes on the right.",,,,,,,,,,,,,,,,,,,,,
Statistic,does melatonin work for jet lag,do ear wax drops work,does magnesium stop cramps,do antibiotics cure whooping cough,do orthodontics help tmj,does tramadol treat nerve pain,can folic acid help with depression,can laxatives help hemorrhoids,can yoga fix seizures,do antibiotics help with pneumonia,can acupuncture treat uterine fibroids,do insoles help back pain,can hydroxyzine be used for anxiety,does cinnamon help diabetes,can probiotics help eczema,does aspirin cure a cold,do magnets help arthritis,do computers help with weight loss,does feverfew prevent migraine,does music reduce stress,does mmr vaccine worsen autism
Min Value,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2
Max Value,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,2,3
Mean,1,1.87,2.33,2,2.31,1.2,1.93,1.06,1.81,2,2.27,2.56,2.2,2.13,2.56,2.06,1.75,1.31,1.8,1.38,2.25
Variance,0,0.41,0.24,0.29,0.36,0.31,0.21,0.06,0.43,0.27,0.21,0.4,0.46,0.12,0.4,0.33,0.47,0.23,0.31,0.25,0.2
Standard Deviation,0,0.64,0.49,0.53,0.6,0.56,0.46,0.25,0.66,0.52,0.46,0.63,0.68,0.35,0.63,0.57,0.68,0.48,0.56,0.5,0.45
Total Responses,16,15,15,15,16,15,15,16,16,16,15,16,15,15,16,16,16,16,15,16,16
,,,,,,,,,,,,,,,,,,,,,
#,Question,helps,inconclusive,does not help,Total Responses,Mean,,,,,,,,,,,,,,,
1,does melatonin work for jet lag,16,0,0,16,1,,,,,,,,,,,,,,,
2,do ear wax drops work,4,9,2,15,1.87,,,,,,,,,,,,,,,
3,does magnesium stop cramps,0,10,5,15,2.33,,,,,,,,,,,,,,,
4,do antibiotics cure whooping cough,2,11,2,15,2,,,,,,,,,,,,,,,
5,do orthodontics help tmj,1,9,6,16,2.31,,,,,,,,,,,,,,,
6,does tramadol treat nerve pain,13,1,1,15,1.2,,,,,,,,,,,,,,,
7,can folic acid help with depression,2,12,1,15,1.93,,,,,,,,,,,,,,,
8,can laxatives help hemorrhoids,15,1,0,16,1.06,,,,,,,,,,,,,,,
9,can yoga fix seizures,5,9,2,16,1.81,,,,,,,,,,,,,,,
10,do antibiotics help with pneumonia,2,12,2,16,2,,,,,,,,,,,,,,,
11,can acupuncture treat uterine fibroids,0,11,4,15,2.27,,,,,,,,,,,,,,,
12,do insoles help back pain,1,5,10,16,2.56,,,,,,,,,,,,,,,
13,can hydroxyzine be used for anxiety,2,8,5,15,2.2,,,,,,,,,,,,,,,
14,does cinnamon help diabetes,0,13,2,15,2.13,,,,,,,,,,,,,,,
15,can probiotics help eczema,1,5,10,16,2.56,,,,,,,,,,,,,,,
16,does aspirin cure a cold,2,11,3,16,2.06,,,,,,,,,,,,,,,
17,do magnets help arthritis,6,8,2,16,1.75,,,,,,,,,,,,,,,
18,do computers help with weight loss,11,5,0,16,1.31,,,,,,,,,,,,,,,
19,does feverfew prevent migraine,4,10,1,15,1.8,,,,,,,,,,,,,,,
20,does music reduce stress,10,6,0,16,1.38,,,,,,,,,,,,,,,
21,does mmr vaccine worsen autism,0,12,4,16,2.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"2.  Scenario:
Imagine you have searched Google for ""${lm://Field/3}""
In the search results, you see the following result and click on it:
${lm://Field/4}



Based ONLY on you read on this website, what does this website suggest about whether ${lm://Field/1} helps, does not help, or is inconclusive about the effects of ${lm://Field/2}? (1)",,,,,,,,,,,,,,,,,,,,,
#,Answer,Bar,Response,%,,,,,,,,,,,,,,,,,
1, Helps,1,3,100%,,,,,,,,,,,,,,,,,
2, Does not help,0,0,0%,,,,,,,,,,,,,,,,,
3, Inconclusive,0,0,0%,,,,,,,,,,,,,,,,,
,Total,,3,100%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Statistic,Value,,,,,,,,,,,,,,,,,,,,
Min Value,1,,,,,,,,,,,,,,,,,,,,
Max Value,1,,,,,,,,,,,,,,,,,,,,
Mean,1,,,,,,,,,,,,,,,,,,,,
Variance,0,,,,,,,,,,,,,,,,,,,,
Standard Deviation,0,,,,,,,,,,,,,,,,,,,,
Total Responses,3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"3.  Scenario:
Imagine you have searched Google for ""${lm://Field/3}""
In the search results, you see the following result and click on it:
${lm://Field/4}



Based ONLY on you read on this website, what does this website suggest about whether ${lm://Field/1} helps, does not help, or is inconclusive about the effects of ${lm://Field/2}? (2)",,,,,,,,,,,,,,,,,,,,,
#,Answer,Bar,Response,%,,,,,,,,,,,,,,,,,
1, Helps,1,2,100%,,,,,,,,,,,,,,,,,
2, Does not help,0,0,0%,,,,,,,,,,,,,,,,,
3, Inconclusive,0,0,0%,,,,,,,,,,,,,,,,,
,Total,,2,100%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Statistic,Value,,,,,,,,,,,,,,,,,,,,
Min Value,1,,,,,,,,,,,,,,,,,,,,
Max Value,1,,,,,,,,,,,,,,,,,,,,
Mean,1,,,,,,,,,,,,,,,,,,,,
Variance,0,,,,,,,,,,,,,,,,,,,,
Standard Deviation,0,,,,,,,,,,,,,,,,,,,,
Total Responses,2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"4.  Scenario:
Imagine you have searched Google for ""${lm://Field/3}""
In the search results, you see the following result and click on it:
${lm://Field/4}



Based ONLY on you read on this website, what does this website suggest about whether ${lm://Field/1} helps, does not help, or is inconclusive about the effects of ${lm://Field/2}? (3)",,,,,,,,,,,,,,,,,,,,,
#,Answer,Bar,Response,%,,,,,,,,,,,,,,,,,
1, Helps,1,5,100%,,,,,,,,,,,,,,,,,
2, Does not help,0,0,0%,,,,,,,,,,,,,,,,,
3, Inconclusive,0,0,0%,,,,,,,,,,,,,,,,,
,Total,,5,100%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Statistic,Value,,,,,,,,,,,,,,,,,,,,
Min Value,1,,,,,,,,,,,,,,,,,,,,
Max Value,1,,,,,,,,,,,,,,,,,,,,
Mean,1,,,,,,,,,,,,,,,,,,,,
Variance,0,,,,,,,,,,,,,,,,,,,,
Standard Deviation,0,,,,,,,,,,,,,,,,,,,,
Total Responses,5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"5.  Scenario:
Imagine you have searched Google for ""${lm://Field/3}""
In the search results, you see the following result and click on it:
${lm://Field/4}



Based ONLY on you read on this website, what does this website suggest about whether ${lm://Field/1} helps, does not help, or is inconclusive about the effects of ${lm://Field/2}? (4)",,,,,,,,,,,,,,,,,,,,,
#,Answer,Bar,Response,%,,,,,,,,,,,,,,,,,
1, Helps,1,1,100%,,,,,,,,,,,,,,,,,
2, Does not help,0,0,0%,,,,,,,,,,,,,,,,,
3, Inconclusive,0,0,0%,,,,,,,,,,,,,,,,,
,Total,,1,100%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Statistic,Value,,,,,,,,,,,,,,,,,,,,
Min Value,1,,,,,,,,,,,,,,,,,,,,
Max Value,1,,,,,,,,,,,,,,,,,,,,
Mean,1,,,,,,,,,,,,,,,,,,,,
Variance,0,,,,,,,,,,,,,,,,,,,,
Standard Deviation,0,,,,,,,,,,,,,,,,,,,,
Total Responses,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"6.  Scenario:
Imagine you have searched Google for ""${lm://Field/3}""
In the search results, you see the following result and click on it:
${lm://Field/4}



Based ONLY on you read on this website, what does this website suggest about whether ${lm://Field/1} helps, does not help, or is inconclusive about the effects of ${lm://Field/2}? (5)",,,,,,,,,,,,,,,,,,,,,
#,Answer,Bar,Response,%,,,,,,,,,,,,,,,,,
1, Helps,1,3,100%,,,,,,,,,,,,,,,,,
2, Does not help,0,0,0%,,,,,,,,,,,,,,,,,
3, Inconclusive,0,0,0%,,,,,,,,,,,,,,,,,
,Total,,3,100%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Statistic,Value,,,,,,,,,,,,,,,,,,,,
Min Value,1,,,,,,,,,,,,,,,,,,,,
Max Value,1,,,,,,,,,,,,,,,,,,,,
Mean,1,,,,,,,,,,,,,,,,,,,,
Variance,0,,,,,,,,,,,,,,,,,,,,
Standard Deviation,0,,,,,,,,,,,,,,,,,,,,
Total Responses,3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"7.  Scenario:
Imagine you have searched Google for ""${lm://Field/3}""
In the search results, you see the following result and click on it:
${lm://Field/4}



Based ONLY on you read on this website, what does this website suggest about whether ${lm://Field/1} helps, does not help, or is inconclusive about the effects of ${lm://Field/2}? (6)",,,,,,,,,,,,,,,,,,,,,
#,Answer,Bar,Response,%,,,,,,,,,,,,,,,,,
