index,,helpful,not helpful,inconclusive,total,Category,accurate value,count of accracy,treatment,condition,search query,result ranking,result page title,result URL
21,,0,0,2,2,wellness site,I,2,computers,weight loss,do computers help with weight loss,1,How a Computer Game Can Help You Lose Weight,http://www.goodtherapy.org/blog/how-a-computer-game-can-help-you-lose-weight-0630151
22,,1,1,1,3,research site,H,1,computers,weight loss,do computers help with weight loss,2,Online computer game can help shed weight and reduce food intake,http://www.exeter.ac.uk/news/featurednews/title_458149_en.html
23,,5,0,0,5,news,H,5,computers,weight loss,do computers help with weight loss,3,A computer game to reduce snacking and lose weight?,http://www.itv.com/news/2015-06-26/can-computer-games-help-you-lose-weight/
24,,3,0,0,3,news,H,3,computers,weight loss,do computers help with weight loss,4,Can YOU train your brain to lose weight? Play the online ... - Daily Mail,http://www.dailymail.co.uk/sciencetech/article-3151275/Can-train-brain-lose-weight-Play-online-game-claims-help-shed-0-7kg-ONE-WEEK.html
25,,1,0,0,1,wellness site,i,0,computers,weight loss,do computers help with weight loss,5,"Online computer game can help shed weight, reduce food intake ...",http://www.foodnavigator.com/Science/A-computer-game-to-reduce-snacking-and-lose-weight
26,,3,0,0,3,news,i,0,computers,weight loss,do computers help with weight loss,6,7 Ways Technology Helps You Lose Weight | Prevention,http://www.huffingtonpost.co.uk/2015/07/08/computer-game-makes-you-lose-weight_n_7751046.html
27,,3,0,0,3,wellness site,i,0,computers,weight loss,do computers help with weight loss,7,6 Ways Your Computer Can Help You Lose Weight and Stay Fit,http://www.technorms.com/35021/how-your-computer-can-help-you-lose-weight-and-stay-fit
28,,2,0,1,3,news,H,2,computers,weight loss,do computers help with weight loss,8,Can computer games help you lose weight? - ITV News - ITV.com,http://www.walesonline.co.uk/news/wales-news/could-new-online-game-help-9602234
29,,2,0,0,2,wellness site,H,2,computers,weight loss,do computers help with weight loss,9,Weight Loss Computer Game Could Help You Lose 1.5lb In Two ...,http://www.prevention.com/weight-loss/weight-loss-tips/7-ways-technology-helps-you-lose-weight
30,,4,0,2,6,news,I,2,computers,weight loss,do computers help with weight loss,10,Can Logging On Help You Lose Pounds? | TIME.com,http://www.timesofisrael.com/computer-algorithm-may-help-with-weight-loss/
61,,0,0,2,2,news,N,0,insoles,back pain,do insoles help back pain,1,Claims that shoe insoles relieve back pain are unsupported - LA Times,http://www.latimes.com/health/la-he-skeptic30-2008jun30-story.html
62,,1,1,0,2,wellness site,H,1,insoles,back pain,do insoles help back pain,2,Shoe Insoles for Lower Back Pain - Spine-Health,http://www.spine-health.com/wellness/ergonomics/shoe-insoles-lower-back-pain
63,,2,0,3,5,product buying site,I,3,insoles,back pain,do insoles help back pain,3,Lower Back Pain Help & Relief | Dr. Scholl's®,https://www.drscholls.com/lowerbodypain/lowerbackpain/
64,,0,2,1,3,product buying site,I,1,insoles,back pain,do insoles help back pain,4,Shoe Insoles Do Not Appear to Prevent Chronic Low Back Pain,http://health.cvs.com/GetContent.aspx%3Ftoken%3Df75979d3-9c7c-4b16-af56-3e122a3f19e3%26chunkiid%3D473510
65,,1,1,1,3,news,N,1,insoles,back pain,do insoles help back pain,5,Claims that shoe insoles relieve back pain are unsupported - LA Times,http://www.latimes.com/health/la-he-skeptic30-2008jun30-story.html
66,,2,0,0,2,product buying site,I,0,insoles,back pain,do insoles help back pain,6,Amazon.com: Customer Reviews: Dr Scholl's Back Pain Relief...,http://www.amazon.com/Scholls-Back-Relief-Orthotics-Sizes/product-reviews/B000NSW2WS
67,,1,2,0,3,product buying site,H,1,insoles,back pain,do insoles help back pain,7,"Barefoot Science | Our insoles help eliminate foot, back and body pain",https://barefoot-science.com/
68,,1,2,0,3,research site,H,1,insoles,back pain,do insoles help back pain,8,Are Your Shoes Causing Your Back Pain? | Beth Israel Deaconess ...,http://www.bidmc.org/YourHealth/Health-Notes/Back-Pain/PreventionManagement/Are-Your-Shoes-Causing-Your-Back-Pain.aspx
69,,1,0,0,1,product buying site,N,0,insoles,back pain,do insoles help back pain,9,"Dr. Scholl's back Pain Relief, One Pair - Walmart.com",http://www.walmart.com/ip/DS-BACK-PAIN-ORTH-WM/10418799
70,,0,0,1,1,registered medical site,H,0,insoles,back pain,do insoles help back pain,10,"Shoe Insoles for Preventing, Treating Low Back Pain - Medscape",http://www.medscape.com/viewarticle/825026
